sample	chromosome	start_pos	end_pos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
B1R3-14C-D10-E1	NC_134838.1	1	133122103	48004147	130061143	97.7006	36.3731	39.6	31
B1R3-14C-D10-E1	NC_134839.1	1	115872679	43560205	114256530	98.6052	38.4821	39.6	32.1
B1R3-14C-D10-E1	NC_134840.1	1	112047329	40588068	108824851	97.124	36.3876	39.6	31.5
B1R3-14C-D10-E1	NC_134841.1	1	104860103	38716954	102822789	98.0571	37.5782	39.6	32.1
B1R3-14C-D10-E1	NC_134842.1	1	102992780	32350172	97131838	94.3094	30.3434	39.6	28.3
B1R3-14C-D10-E1	NC_134843.1	1	102858672	35817251	98944016	96.1941	34.4389	39.6	30.6
B1R3-14C-D10-E1	NC_134844.1	1	98048912	31576385	93320997	95.178	31.2027	39.6	29.2
B1R3-14C-D10-E1	NC_134845.1	1	97139405	30599753	91578234	94.2751	30.0389	39.6	29.6
B1R3-14C-D10-E1	NC_134846.1	1	94721750	33959562	92105438	97.2379	35.8584	39.6	31.6
B1R3-14C-D10-E1	NC_134847.1	1	91363364	30349328	87630262	95.914	32.4584	39.6	30
B1R3-14C-D10-E1	NC_134848.1	1	86550376	27346360	82061756	94.8139	30.8046	39.6	27.9
B1R3-14C-D10-E1	NC_134849.1	1	81349889	29160191	77260413	94.973	31.6871	39.5	25.1
B1R3-14C-D10-E1	NC_134850.1	1	74365144	24584225	70844600	95.2659	32.1635	39.6	29.8
B1R3-14C-D10-E1	NC_134851.1	1	73464853	22786814	68779079	93.6217	29.7211	39.6	28.9
B1R3-B2R1-22-D10-E1	NC_134838.1	1	133122103	75665029	131238471	98.585	68.7988	39.6	34.8
B1R3-B2R1-22-D10-E1	NC_134839.1	1	115872679	68399442	114933773	99.1897	71.7725	39.6	35.7
B1R3-B2R1-22-D10-E1	NC_134840.1	1	112047329	63407134	110025624	98.1957	68.2977	39.6	35.1
B1R3-B2R1-22-D10-E1	NC_134841.1	1	104860103	60762379	103577489	98.7768	70.4822	39.6	35.9
B1R3-B2R1-22-D10-E1	NC_134842.1	1	102992780	49337731	98987148	96.1108	56.4537	39.6	31.4
B1R3-B2R1-22-D10-E1	NC_134843.1	1	102858672	55699276	100622545	97.826	64.8556	39.6	34.4
B1R3-B2R1-22-D10-E1	NC_134844.1	1	98048912	48075257	94875597	96.7635	57.9924	39.6	32.7
B1R3-B2R1-22-D10-E1	NC_134845.1	1	97139405	45806806	93662822	96.421	55.4477	39.6	33.4
B1R3-B2R1-22-D10-E1	NC_134846.1	1	94721750	52300032	93058715	98.2443	66.6013	39.6	35.4
B1R3-B2R1-22-D10-E1	NC_134847.1	1	91363364	47315972	89251896	97.6889	61.7555	39.6	33.9
B1R3-B2R1-22-D10-E1	NC_134848.1	1	86550376	41898308	83662880	96.6638	56.9099	39.6	31.2
B1R3-B2R1-22-D10-E1	NC_134849.1	1	81349889	43618898	79031603	97.1502	58.4766	39.5	28.8
B1R3-B2R1-22-D10-E1	NC_134850.1	1	74365144	38126098	71790604	96.538	60.6168	39.6	33.5
B1R3-B2R1-22-D10-E1	NC_134851.1	1	73464853	34255749	70412598	95.8453	54.8518	39.6	32.2
B1R3-D1-E1	NC_134838.1	1	133122103	90528592	131145982	98.5156	80.8298	39.6	34.8
B1R3-D1-E1	NC_134839.1	1	115872679	82304540	114955514	99.2085	84.6314	39.6	35.7
B1R3-D1-E1	NC_134840.1	1	112047329	75948343	109805171	97.9989	80.1902	39.6	35.2
B1R3-D1-E1	NC_134841.1	1	104860103	73904171	103495942	98.6991	84.2865	39.6	36.1
B1R3-D1-E1	NC_134842.1	1	102992780	59294047	98614102	95.7486	66.461	39.6	31.5
B1R3-D1-E1	NC_134843.1	1	102858672	67037012	99893491	97.1172	76.5593	39.6	34.5
B1R3-D1-E1	NC_134844.1	1	98048912	58034172	94588897	96.4711	68.7574	39.6	32.8
B1R3-D1-E1	NC_134845.1	1	97139405	55165917	92795810	95.5285	65.5615	39.6	33.3
B1R3-D1-E1	NC_134846.1	1	94721750	62618427	92810408	97.9822	78.1284	39.6	35.3
B1R3-D1-E1	NC_134847.1	1	91363364	56089268	88585751	96.9598	71.8084	39.6	33.7
B1R3-D1-E1	NC_134848.1	1	86550376	50051619	83380854	96.3379	66.5026	39.6	30.9
B1R3-D1-E1	NC_134849.1	1	81349889	52182585	78430904	96.4118	68.0876	39.5	28.6
B1R3-D1-E1	NC_134850.1	1	74365144	45264189	71836957	96.6003	70.583	39.6	33.3
B1R3-D1-E1	NC_134851.1	1	73464853	41039652	69911919	95.1638	64.2755	39.6	32.2
B1R4-D1-E1	NC_134838.1	1	133122103	73877816	130873452	98.3108	67.7503	39.6	34.9
B1R4-D1-E1	NC_134839.1	1	115872679	67302141	114797901	99.0724	71.1344	39.6	35.8
B1R4-D1-E1	NC_134840.1	1	112047329	62004294	109494413	97.7216	67.2352	39.6	35.3
B1R4-D1-E1	NC_134841.1	1	104860103	60015865	103304900	98.5169	70.3034	39.6	36.2
B1R4-D1-E1	NC_134842.1	1	102992780	48730260	98169242	95.3166	56.1652	39.6	31.8
B1R4-D1-E1	NC_134843.1	1	102858672	54968055	99578118	96.8106	64.5065	39.6	34.7
B1R4-D1-E1	NC_134844.1	1	98048912	47804344	94230413	96.1055	58.2772	39.6	33.1
B1R4-D1-E1	NC_134845.1	1	97139405	45300493	92355561	95.0753	55.3816	39.6	33.6
B1R4-D1-E1	NC_134846.1	1	94721750	51101932	92597200	97.7571	65.4944	39.6	35.4
B1R4-D1-E1	NC_134847.1	1	91363364	45892996	88302722	96.65	60.3844	39.6	33.9
B1R4-D1-E1	NC_134848.1	1	86550376	41135061	82997756	95.8953	56.2388	39.6	31.2
B1R4-D1-E1	NC_134849.1	1	81349889	42613916	78135190	96.0483	57.8944	39.5	29.2
B1R4-D1-E1	NC_134850.1	1	74365144	37160627	71547262	96.2107	59.5833	39.6	33.7
B1R4-D1-E1	NC_134851.1	1	73464853	33645218	69571394	94.7002	54.201	39.6	32.5
B1R5-D1-E1	NC_134838.1	1	133122103	77373644	130941701	98.3621	70.3854	39.6	34.7
B1R5-D1-E1	NC_134839.1	1	115872679	70392874	114823351	99.0944	73.7974	39.6	35.6
B1R5-D1-E1	NC_134840.1	1	112047329	64934399	109590432	97.8073	69.8458	39.6	35.1
B1R5-D1-E1	NC_134841.1	1	104860103	62965979	103340493	98.5508	73.1734	39.6	36
B1R5-D1-E1	NC_134842.1	1	102992780	51247193	98281518	95.4256	58.5866	39.6	31.6
B1R5-D1-E1	NC_134843.1	1	102858672	57620740	99681074	96.9107	67.0579	39.6	34.5
B1R5-D1-E1	NC_134844.1	1	98048912	50368867	94335548	96.2127	60.8917	39.6	33
B1R5-D1-E1	NC_134845.1	1	97139405	47736206	92437527	95.1597	57.8841	39.6	33.5
B1R5-D1-E1	NC_134846.1	1	94721750	53875696	92652198	97.8151	68.5196	39.6	35.3
B1R5-D1-E1	NC_134847.1	1	91363364	48157652	88372142	96.726	62.8439	39.6	33.7
B1R5-D1-E1	NC_134848.1	1	86550376	43553718	83080809	95.9913	59.0725	39.6	31.1
B1R5-D1-E1	NC_134849.1	1	81349889	44708963	78220848	96.1536	60.5334	39.5	29.3
B1R5-D1-E1	NC_134850.1	1	74365144	39351780	71633792	96.3271	62.629	39.6	33.6
B1R5-D1-E1	NC_134851.1	1	73464853	35525996	69674098	94.84	56.7534	39.6	32.3
B2R1-22C-D10-E1	NC_134838.1	1	133122103	21202945	126655888	95.1426	16.2431	39.6	31.5
B2R1-22C-D10-E1	NC_134839.1	1	115872679	18935027	112040731	96.693	16.8859	39.6	32.3
B2R1-22C-D10-E1	NC_134840.1	1	112047329	17771366	106189644	94.7721	16.1254	39.6	31.7
B2R1-22C-D10-E1	NC_134841.1	1	104860103	16948988	100677965	96.0117	16.6109	39.6	32.3
B2R1-22C-D10-E1	NC_134842.1	1	102992780	14022664	92530409	89.8416	13.2877	39.6	28.3
B2R1-22C-D10-E1	NC_134843.1	1	102858672	15890980	96632793	93.9472	15.3667	39.6	30.7
B2R1-22C-D10-E1	NC_134844.1	1	98048912	13730957	89211923	90.9872	13.6491	39.6	29.2
B2R1-22C-D10-E1	NC_134845.1	1	97139405	13278926	87206944	89.775	13.1063	39.6	29.8
B2R1-22C-D10-E1	NC_134846.1	1	94721750	14729889	89850984	94.8578	15.6952	39.6	31.7
B2R1-22C-D10-E1	NC_134847.1	1	91363364	13428999	85058361	93.099	14.5609	39.6	30.4
B2R1-22C-D10-E1	NC_134848.1	1	86550376	11714479	78033524	90.1597	13.2568	39.6	28.1
B2R1-22C-D10-E1	NC_134849.1	1	81349889	13226741	74251730	91.2745	14.2134	39.3	24.1
B2R1-22C-D10-E1	NC_134850.1	1	74365144	10783927	67849321	91.2381	14.2482	39.6	30.1
B2R1-22C-D10-E1	NC_134851.1	1	73464853	9870445	65459601	89.1033	12.9235	39.6	28.7
B2R1-D1-E1	NC_134838.1	1	133122103	85140382	130915286	98.3423	77.1738	39.6	35
B2R1-D1-E1	NC_134839.1	1	115872679	76815329	114620189	98.9191	80.3053	39.6	35.9
B2R1-D1-E1	NC_134840.1	1	112047329	71166160	109663061	97.8721	76.4259	39.6	35.2
B2R1-D1-E1	NC_134841.1	1	104860103	68554201	103298632	98.5109	79.2696	39.6	36.1
B2R1-D1-E1	NC_134842.1	1	102992780	55130871	98232272	95.3778	62.8681	39.6	31.4
B2R1-D1-E1	NC_134843.1	1	102858672	62276108	100280686	97.4937	72.2313	39.6	34.5
B2R1-D1-E1	NC_134844.1	1	98048912	53687643	94183143	96.0573	64.5204	39.6	32.8
B2R1-D1-E1	NC_134845.1	1	97139405	51116679	92870683	95.6056	61.7346	39.6	33.5
B2R1-D1-E1	NC_134846.1	1	94721750	58867134	92730182	97.8975	74.7966	39.6	35.5
B2R1-D1-E1	NC_134847.1	1	91363364	52927913	88846325	97.245	68.8518	39.6	34
B2R1-D1-E1	NC_134848.1	1	86550376	46603862	82944007	95.8332	63.0653	39.6	31.3
B2R1-D1-E1	NC_134849.1	1	81349889	50100947	78585765	96.6022	65.3742	39.5	28.2
B2R1-D1-E1	NC_134850.1	1	74365144	42562395	71348224	95.9431	67.4323	39.6	33.6
B2R1-D1-E1	NC_134851.1	1	73464853	38230885	69855997	95.0876	61.0723	39.6	32.2
B2R2-14C-D10-E1	NC_134838.1	1	133122103	48783073	129909080	97.5864	41.9668	39.6	33.2
B2R2-14C-D10-E1	NC_134839.1	1	115872679	43872604	114074665	98.4483	43.6682	39.6	34
B2R2-14C-D10-E1	NC_134840.1	1	112047329	41075507	108885637	97.1783	41.9075	39.6	33.5
B2R2-14C-D10-E1	NC_134841.1	1	104860103	39195934	102680732	97.9216	43.0392	39.6	34.3
B2R2-14C-D10-E1	NC_134842.1	1	102992780	32539338	96942345	94.1254	35.0553	39.6	30.2
B2R2-14C-D10-E1	NC_134843.1	1	102858672	36557444	99469213	96.7047	40.2153	39.6	33
B2R2-14C-D10-E1	NC_134844.1	1	98048912	31751664	93114982	94.9679	36.048	39.6	31.4
B2R2-14C-D10-E1	NC_134845.1	1	97139405	30427635	91566618	94.2631	34.5476	39.6	32
B2R2-14C-D10-E1	NC_134846.1	1	94721750	34065995	92120820	97.2541	40.9827	39.6	33.8
B2R2-14C-D10-E1	NC_134847.1	1	91363364	31149076	88016789	96.3371	38.374	39.6	32.6
B2R2-14C-D10-E1	NC_134848.1	1	86550376	27578252	81827640	94.5434	35.4035	39.6	30
B2R2-14C-D10-E1	NC_134849.1	1	81349889	30213808	77649725	95.4515	36.5668	39.4	26.3
B2R2-14C-D10-E1	NC_134850.1	1	74365144	25173951	70588106	94.921	37.8094	39.6	32.3
B2R2-14C-D10-E1	NC_134851.1	1	73464853	22669164	68911264	93.8017	34.0591	39.6	30.8
B2R2-22C-D10-E1	NC_134838.1	1	133122103	64939285	130559102	98.0747	58.4993	39.6	34.1
B2R2-22C-D10-E1	NC_134839.1	1	115872679	58696526	114437514	98.7614	61.0783	39.6	35
B2R2-22C-D10-E1	NC_134840.1	1	112047329	54459145	109409809	97.6461	58.0979	39.6	34.3
B2R2-22C-D10-E1	NC_134841.1	1	104860103	51973631	103123767	98.3441	59.7116	39.6	35.1
B2R2-22C-D10-E1	NC_134842.1	1	102992780	42293829	97837152	94.9942	47.8459	39.6	30.7
B2R2-22C-D10-E1	NC_134843.1	1	102858672	47727970	100007929	97.2285	54.983	39.6	33.7
B2R2-22C-D10-E1	NC_134844.1	1	98048912	41040852	93841258	95.7086	48.8866	39.6	31.9
B2R2-22C-D10-E1	NC_134845.1	1	97139405	39315441	92490330	95.214	46.9745	39.6	32.6
B2R2-22C-D10-E1	NC_134846.1	1	94721750	44843131	92530795	97.687	56.5181	39.6	34.5
B2R2-22C-D10-E1	NC_134847.1	1	91363364	40606978	88595161	96.9701	52.4045	39.6	33.2
B2R2-22C-D10-E1	NC_134848.1	1	86550376	35540854	82579386	95.4119	47.7042	39.6	30.6
B2R2-22C-D10-E1	NC_134849.1	1	81349889	37334978	78301693	96.253	49.6716	39.5	28.2
B2R2-22C-D10-E1	NC_134850.1	1	74365144	32557699	71115505	95.6302	51.1783	39.6	32.8
B2R2-22C-D10-E1	NC_134851.1	1	73464853	29369836	69514348	94.6226	46.4517	39.6	31.4
B2R2-D1-E1	NC_134838.1	1	133122103	80619412	130806964	98.2609	73.215	39.6	34.9
B2R2-D1-E1	NC_134839.1	1	115872679	72763414	114576320	98.8812	76.1918	39.6	35.8
B2R2-D1-E1	NC_134840.1	1	112047329	67703952	109605492	97.8207	72.8684	39.6	35.2
B2R2-D1-E1	NC_134841.1	1	104860103	64836912	103255027	98.4693	75.1106	39.6	36
B2R2-D1-E1	NC_134842.1	1	102992780	52238844	98112414	95.2614	59.6741	39.6	31.3
B2R2-D1-E1	NC_134843.1	1	102858672	58838124	100201326	97.4165	68.3491	39.6	34.4
B2R2-D1-E1	NC_134844.1	1	98048912	50681428	94087646	95.9599	60.9946	39.6	32.7
B2R2-D1-E1	NC_134845.1	1	97139405	48258240	92739780	95.4708	58.3407	39.6	33.4
B2R2-D1-E1	NC_134846.1	1	94721750	55792577	92676054	97.8403	71.02	39.6	35.5
B2R2-D1-E1	NC_134847.1	1	91363364	49996717	88763030	97.1539	65.1263	39.6	33.9
B2R2-D1-E1	NC_134848.1	1	86550376	43732772	82837892	95.7106	59.2304	39.6	31.1
B2R2-D1-E1	NC_134849.1	1	81349889	45753233	78501950	96.4991	61.6905	39.6	29
B2R2-D1-E1	NC_134850.1	1	74365144	40199820	71258935	95.823	63.7637	39.6	33.5
B2R2-D1-E1	NC_134851.1	1	73464853	36086916	69753955	94.9487	57.7311	39.6	32.1
B2R3-14C-D10-E1	NC_134838.1	1	133122103	25457427	125039557	93.9285	14.4909	39.6	28.4
B2R3-14C-D10-E1	NC_134839.1	1	115872679	22573903	110699467	95.5354	14.999	39.6	29.2
B2R3-14C-D10-E1	NC_134840.1	1	112047329	21304771	104880824	93.604	14.3239	39.6	28.7
B2R3-14C-D10-E1	NC_134841.1	1	104860103	20232029	99496550	94.885	14.691	39.6	29.2
B2R3-14C-D10-E1	NC_134842.1	1	102992780	16940431	90497699	87.868	11.6574	39.6	25.4
B2R3-14C-D10-E1	NC_134843.1	1	102858672	18865607	94982428	92.3427	13.5384	39.6	27.8
B2R3-14C-D10-E1	NC_134844.1	1	98048912	16661931	87413357	89.1528	12.0527	39.6	26.2
B2R3-14C-D10-E1	NC_134845.1	1	97139405	16300058	85264020	87.7749	11.6709	39.6	26.5
B2R3-14C-D10-E1	NC_134846.1	1	94721750	17699771	88597982	93.535	13.8992	39.6	28.7
B2R3-14C-D10-E1	NC_134847.1	1	91363364	16256590	83478584	91.3699	12.8626	39.6	27.2
B2R3-14C-D10-E1	NC_134848.1	1	86550376	13995881	75987922	87.7962	11.508	39.6	25
B2R3-14C-D10-E1	NC_134849.1	1	81349889	16404825	72356042	88.9442	12.3991	39.3	20.5
B2R3-14C-D10-E1	NC_134850.1	1	74365144	13023716	66707438	89.7026	12.6052	39.6	26.9
B2R3-14C-D10-E1	NC_134851.1	1	73464853	11977429	63778293	86.8147	11.325	39.6	25.7
B2R3-22C-D10-E1	NC_134838.1	1	133122103	15813128	112837937	84.7627	6.12315	39.6	24.9
B2R3-22C-D10-E1	NC_134839.1	1	115872679	13756861	102464527	88.4285	6.28725	39.6	25.5
B2R3-22C-D10-E1	NC_134840.1	1	112047329	13286666	95812012	85.5103	6.11484	39.6	25.1
B2R3-22C-D10-E1	NC_134841.1	1	104860103	12477785	92045939	87.7798	6.21538	39.6	25.4
B2R3-22C-D10-E1	NC_134842.1	1	102992780	10943249	78073180	75.8045	5.11031	39.6	22.9
B2R3-22C-D10-E1	NC_134843.1	1	102858672	11957914	85832470	83.447	5.86275	39.6	24.4
B2R3-22C-D10-E1	NC_134844.1	1	98048912	10741368	77105125	78.6394	5.30917	39.6	23.4
B2R3-22C-D10-E1	NC_134845.1	1	97139405	10775052	73838779	76.0132	5.21559	39.6	23.7
B2R3-22C-D10-E1	NC_134846.1	1	94721750	11152828	80554192	85.043	5.95097	39.6	24.9
B2R3-22C-D10-E1	NC_134847.1	1	91363364	10397702	74842157	81.917	5.63656	39.6	24.1
B2R3-22C-D10-E1	NC_134848.1	1	86550376	8925465	64775882	74.8418	5.00953	39.6	22.4
B2R3-22C-D10-E1	NC_134849.1	1	81349889	10853770	63064709	77.5228	5.85826	38.8	18.2
B2R3-22C-D10-E1	NC_134850.1	1	74365144	8281906	59405556	79.8836	5.46893	39.6	23.9
B2R3-22C-D10-E1	NC_134851.1	1	73464853	7894093	55356475	75.351	5.0779	39.6	23.1
B2R3-D1-E1	NC_134838.1	1	133122103	71234498	130599864	98.1053	65.7422	39.6	35.1
B2R3-D1-E1	NC_134839.1	1	115872679	64670336	114454340	98.776	68.8352	39.6	36.1
B2R3-D1-E1	NC_134840.1	1	112047329	59674788	109404739	97.6415	65.2325	39.6	35.4
B2R3-D1-E1	NC_134841.1	1	104860103	57418259	103128072	98.3482	67.5899	39.6	36.2
B2R3-D1-E1	NC_134842.1	1	102992780	46203915	97750898	94.9104	53.6503	39.6	31.6
B2R3-D1-E1	NC_134843.1	1	102858672	52224260	100002240	97.223	61.6793	39.6	34.7
B2R3-D1-E1	NC_134844.1	1	98048912	44801028	93766311	95.6322	54.7976	39.6	33
B2R3-D1-E1	NC_134845.1	1	97139405	42766310	92430838	95.1528	52.5995	39.6	33.6
B2R3-D1-E1	NC_134846.1	1	94721750	49392760	92533387	97.6897	63.9074	39.6	35.7
B2R3-D1-E1	NC_134847.1	1	91363364	44196528	88562253	96.9341	58.5052	39.6	34.1
B2R3-D1-E1	NC_134848.1	1	86550376	38659225	82537651	95.3637	53.1862	39.6	31.3
B2R3-D1-E1	NC_134849.1	1	81349889	40239868	78259841	96.2015	55.4882	39.5	29.3
B2R3-D1-E1	NC_134850.1	1	74365144	35567576	71034739	95.5216	57.3278	39.6	33.7
B2R3-D1-E1	NC_134851.1	1	73464853	31894892	69477636	94.5726	51.8765	39.6	32.4
B2R4-D1-E1	NC_134838.1	1	133122103	74191278	130714688	98.1916	68.9512	39.6	34.7
B2R4-D1-E1	NC_134839.1	1	115872679	67105195	114501986	98.8171	71.9482	39.6	35.6
B2R4-D1-E1	NC_134840.1	1	112047329	62251215	109489922	97.7176	68.5742	39.6	35
B2R4-D1-E1	NC_134841.1	1	104860103	59557002	103178556	98.3964	70.5873	39.6	35.8
B2R4-D1-E1	NC_134842.1	1	102992780	48335051	97887570	95.0431	56.5884	39.6	31.3
B2R4-D1-E1	NC_134843.1	1	102858672	54480285	100083134	97.3016	64.8316	39.6	34.3
B2R4-D1-E1	NC_134844.1	1	98048912	47097503	93903387	95.772	58.1286	39.6	32.8
B2R4-D1-E1	NC_134845.1	1	97139405	44786015	92557696	95.2834	55.5612	39.6	33.4
B2R4-D1-E1	NC_134846.1	1	94721750	51389771	92591552	97.7511	66.9848	39.6	35.3
B2R4-D1-E1	NC_134847.1	1	91363364	46033095	88645943	97.0257	61.4199	39.6	33.8
B2R4-D1-E1	NC_134848.1	1	86550376	40636641	82666014	95.512	56.3907	39.6	31.1
B2R4-D1-E1	NC_134849.1	1	81349889	43469881	78374802	96.3429	58.3249	39.5	28
B2R4-D1-E1	NC_134850.1	1	74365144	37244524	71132642	95.6532	60.5744	39.6	33.5
